route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
801,RDEC24-801-1_Weekday-00,61420153,,1,169,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420154,,1,111,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420155,,1,102,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420156,,1,109,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420157,,0,169,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420159,,0,170,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420160,,1,162,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420161,,1,107,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420162,,1,154,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420163,,0,160,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420164,,0,104,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420165,,0,102,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420166,,0,107,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420167,,1,152,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420168,,1,163,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420169,,0,116,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420170,,1,110,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420171,,0,163,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420172,,0,162,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420173,,1,169,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420174,,1,170,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420175,,1,117,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420176,,0,103,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420178,,1,113,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420179,,1,103,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420180,,1,114,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420181,,0,101,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420182,,0,114,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420183,,0,113,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420184,,1,154,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420185,,1,155,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420186,,1,156,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420187,,0,102,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420188,,0,104,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420189,,1,165,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420190,,0,117,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420191,,0,109,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420192,,0,106,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420193,,1,104,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420194,,1,159,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420195,,1,170,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420196,,1,151,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420197,,1,104,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420198,,1,157,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420200,,1,153,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420203,,0,152,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420224,,0,155,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420225,,1,167,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420226,,1,168,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420227,,1,160,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420228,,1,163,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420229,,1,107,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420230,,1,112,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420231,,1,110,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420232,,1,157,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420233,,1,160,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420234,,1,110,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420235,,1,151,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420236,,1,154,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420237,,1,158,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420238,,1,171,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420239,,1,172,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420240,,1,105,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420241,,1,108,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420242,,1,112,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420243,,0,156,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420244,,0,115,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420245,,0,104,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420246,,0,153,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420247,,0,109,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420248,,0,101,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420249,,0,163,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420250,,0,106,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420251,,0,111,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420252,,0,102,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420253,,0,103,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420254,,0,107,801NB_RC_221121
