service_id,date,exception_type
DEC24-D02CAR-1_Weekday-KINGMA0,20250217,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250217,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250217,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250218,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250218,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250218,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250218,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250219,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250219,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250219,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250219,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250220,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250220,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250220,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250220,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250221,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250221,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250221,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250221,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250224,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250224,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250224,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250224,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250225,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250225,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250225,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250225,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250226,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250226,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250226,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250226,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250227,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250227,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250227,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250227,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250228,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250228,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250228,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250228,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250303,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250303,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250303,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250303,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250304,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250304,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250304,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250304,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250305,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250305,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250305,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250305,2
