route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_id_event
210-13186,DEC24-D18CAR-1_Weekday,10210003431911-DEC24,,0,2101800,2100343_DEC24,60967453-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003310423-DEC24,,1,2100100,2100331_DEC24,60967454-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003301810-DEC24,,1,2102402,2100330_DEC24,60967455-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003450455-DEC24,,0,2100600,2100345_DEC24,60967456-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003441749-DEC24,,0,2101100,2100344_DEC24,60967457-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003311926-DEC24,,1,2101700,2100331_DEC24,60967458-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003311754-DEC24,,1,2100300,2100331_DEC24,60967459-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003431809-DEC24,,0,2100100,2100343_DEC24,60967460-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003430507-DEC24,,0,2100800,2100343_DEC24,60967461-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003301836-DEC24,,1,2101000,2100330_DEC24,60967462-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003310522-DEC24,,1,2100500,2100331_DEC24,60967463-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003441831-DEC24,,0,2101400,2100344_DEC24,60967464-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003312256-DEC24,,1,2100800,2100331_DEC24,60967465-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003451409-DEC24,,0,2100200,2100345_DEC24,60967466-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003451553-DEC24,,0,2100400,2100345_DEC24,60967467-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003451532-DEC24,,0,2102200,2100345_DEC24,60967468-DEC24-D18CAR-1_Weekday
